"","Year","ORF","DominantCommunity","emmean","SE","df","lower.CL","upper.CL",".group"
"1","14","Type 1","Cladocopium-dominated",-1.68521001845976,0.117926511582243,77.389369601018,-1.92001284991313,-1.4504071870064,"  23"
"7","14","Type 1","Durusdinium-dominated",-1.5441868082961,0.0944855409481611,76.5566194142141,-1.73234894790974,-1.35602466868246,"   3"
"4","14","Type 3","Cladocopium-dominated",-1.66013968073065,0.144147353659344,74.2918659078284,-1.94734080480628,-1.37293855665502,"  23"
"2","15","Type 1","Cladocopium-dominated",-1.45853571167095,0.117926511582243,77.3893696010188,-1.69333854312431,-1.22373288021758,"   3"
"8","15","Type 1","Durusdinium-dominated",-1.37809993096331,0.0944855409481611,76.5566194142141,-1.56626207057695,-1.18993779134967,"   3"
"5","15","Type 3","Cladocopium-dominated",-2.22754516663935,0.144147353659344,74.2918659078284,-2.51474629071499,-1.94034404256372," 12 "
"3","16","Type 1","Cladocopium-dominated",-1.73638464951758,0.249540114503643,77.1010643347535,-2.23327210510651,-1.23949719392865," 123"
"9","16","Type 1","Durusdinium-dominated",-1.58339937099789,0.077046169060802,75.2034199008645,-1.7368764057692,-1.42992233622658,"   3"
"6","16","Type 3","Cladocopium-dominated",-2.43817562670567,0.144147353659344,74.2918659078288,-2.7253767507813,-2.15097450263003," 1  "
